AX1,AX2,AY1,AY2,AZ1,AZ2,P0,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9,active,changes,encB,encT,j,k,pitch,roll,time
-0.01,-0.0,0.01,0.02,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,2.0
-0.0,0.0,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,2.1
-0.0,0.0,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,2.19
-0.0,0.0,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.0,2.29
0.0,0.01,0.01,0.01,1.0,1.01,2.33,2.92,2.91,2.89,2.94,2.93,2.94,2.94,2.94,2.94,2.92,2.92,1.0,0.1,0.0,0.0,22.0,1.0,-0.01,0.0,2.57
0.01,0.01,0.01,-0.0,1.0,1.0,15.98,19.26,17.9,16.22,23.93,23.47,24.01,24.01,24.05,18.9,13.95,22.69,1.0,0.16,1.29,0.0,61.0,1.0,-0.01,-0.01,3.04
-0.01,0.0,0.01,0.01,1.0,1.01,56.66,58.54,62.11,56.63,92.51,79.41,93.79,93.75,94.23,71.97,44.26,52.56,1.0,0.17,1.97,0.0,102.0,1.0,-0.01,0.0,3.52
-0.01,0.0,0.01,0.02,1.0,1.01,49.02,54.17,58.45,52.19,91.02,63.93,93.39,93.34,93.83,71.56,41.09,42.24,1.0,0.04,1.97,0.0,143.0,1.0,-0.01,0.01,4.02
-0.03,-0.01,0.01,0.03,1.01,1.01,42.03,52.76,56.07,50.08,89.57,56.85,92.59,92.4,93.44,70.3,34.72,34.98,1.0,0.11,1.55,0.0,184.0,1.0,-0.01,0.01,4.51
-0.03,-0.01,0.01,0.04,1.0,1.01,30.91,47.85,46.24,48.11,87.37,52.13,90.85,90.41,93.05,23.51,28.19,27.6,1.0,0.13,4.06,0.0,224.0,1.0,-0.01,0.02,5.0
-0.04,-0.01,0.01,0.04,1.0,1.02,12.22,18.88,41.9,40.02,84.59,48.49,68.98,60.15,92.66,20.67,21.26,21.11,1.0,0.33,1.76,0.0,264.0,1.0,-0.01,0.03,5.5
-0.01,0.0,0.01,0.02,1.01,1.01,210.95,25.62,29.22,24.68,49.5,32.96,64.0,36.32,54.49,14.35,11.26,11.79,1.0,21.79,5.44,0.0,293.0,13.0,-0.01,0.02,5.99
-0.02,-0.01,-0.01,0.02,1.02,1.0,80.85,-44.93,38.04,35.52,65.27,36.43,52.68,54.34,91.49,21.06,12.99,14.54,1.0,0.25,4.04,0.03,328.0,1.0,-0.01,0.02,6.48
-0.01,-0.01,0.01,0.01,1.0,1.0,-101.99,-530.15,-21.57,-21.18,11.57,-79.37,-210.82,-28.13,28.53,5.27,-60.99,-7.9,1.0,165.87,2.07,0.03,346.0,15.0,-0.01,0.01,6.98
0.0,0.0,0.01,0.01,1.01,1.0,63.51,67.54,29.25,30.21,42.26,37.48,67.67,43.04,59.52,13.51,20.37,10.39,1.0,0.36,6.13,0.03,363.0,1.0,-0.01,0.01,7.47
-0.01,0.0,0.01,0.02,1.0,1.01,80.55,83.62,41.59,44.49,63.48,50.45,90.89,63.35,90.31,20.17,27.81,12.52,1.0,0.26,5.03,0.03,404.0,1.0,-0.01,0.01,7.96
-0.03,-0.01,0.0,0.03,1.02,1.02,65.64,88.85,45.38,47.88,66.23,55.17,98.67,69.03,92.3,21.89,29.63,12.66,1.0,0.2,3.65,0.16,445.0,1.0,-0.01,0.02,8.45
-0.03,-0.02,0.01,0.04,1.0,1.0,58.58,31.0,47.35,48.29,69.08,57.93,87.08,70.69,93.9,23.57,26.12,12.66,1.0,0.58,0.93,0.21,486.0,1.0,-0.01,0.03,8.94
0.01,0.01,0.01,0.0,1.01,1.01,47.75,15.73,45.65,46.17,66.96,55.34,78.76,68.56,84.66,22.76,24.36,11.75,1.0,0.4,4.52,0.28,527.0,1.0,-0.01,0.02,9.44
-0.01,-0.0,0.01,0.02,1.0,1.0,-49.99,-33.95,34.7,34.77,51.58,40.8,47.61,51.49,37.5,17.64,15.55,8.44,1.0,0.45,2.06,1.09,568.0,1.0,-0.01,0.02,9.93
-0.02,-0.01,0.01,0.02,1.0,1.01,-119.62,-31.14,6.52,6.43,9.94,8.1,2.45,8.92,-27.54,3.15,2.05,1.5,1.0,9.29,5.57,1.09,592.0,18.0,-0.01,0.02,10.44
-0.03,-0.01,0.01,0.03,1.01,1.01,-95.21,-20.45,1.57,1.5,2.5,2.16,-2.91,1.74,-29.01,0.67,0.02,0.31,1.0,0.08,2.88,1.54,605.0,1.0,-0.01,0.02,10.94
-0.03,-0.01,0.01,0.03,1.0,1.01,70.44,12.96,1.15,1.21,1.6,1.16,5.57,2.19,25.24,0.69,1.05,0.34,1.0,52.04,6.24,1.56,614.0,33.0,-0.01,0.03,11.44
-0.02,-0.01,0.01,0.03,1.0,1.0,73.46,5.25,7.2,7.21,10.63,8.38,14.31,11.28,36.6,3.85,3.67,1.8,1.0,3.33,3.48,2.08,614.0,74.0,-0.01,0.03,11.91
-0.01,-0.0,0.01,0.02,1.0,1.0,85.86,-20.33,24.23,24.27,36.75,28.25,36.57,36.36,60.26,12.66,11.02,5.93,1.0,0.91,0.65,2.28,645.0,1.0,-0.01,0.02,12.39
-0.0,0.0,0.01,0.02,1.0,1.01,64.26,-83.0,33.45,35.88,40.95,38.06,39.96,52.52,18.59,18.53,13.92,7.84,1.0,0.54,4.09,2.41,684.0,1.0,-0.01,0.02,12.88
0.01,0.0,0.01,-0.0,1.0,1.01,27.18,90.39,14.89,10.42,14.13,15.21,48.95,21.96,17.01,7.11,8.62,3.65,1.0,4.4,1.18,3.22,699.0,27.0,-0.01,0.01,13.38
0.0,0.0,0.01,0.01,1.0,1.0,-9.95,64.54,39.29,35.69,42.33,41.98,82.05,60.1,11.86,19.51,20.22,9.34,1.0,0.4,4.77,3.7,723.0,1.0,-0.01,0.01,13.86
0.0,0.0,0.01,0.01,1.0,1.01,-468.32,12.89,9.75,-9.5,-8.05,-64.72,15.61,13.66,-45.44,-0.35,-5.17,1.49,1.0,40.78,1.93,0.54,744.0,20.0,-0.01,0.01,14.37
